CLINICALSIGNIFICANCE_ID,CLINICALSIGNIFICANCE_ACCESSION,CLINICALSIGNIFICANCE_VARIANTID,CLINICALSIGNIFICANCE_PATHOLOGYID,CLINICALSIGNIFICANCE_SIGNIFICANCEID,CLINICALSIGNIFICANCE_EVALUATED,CLINICALSIGNIFICANCE_REVIEWSTATUS,CLINICALSIGNIFICANCE_UPDATED
487,RCV001613303,79465,207830,5,2018-07-17,"[criteria provided, single submitter]",2022-09-26
488,RCV001617427,79499,207830,5,2018-07-15,"[criteria provided, single submitter]",2022-09-26
489,RCV001658338,79499,171931,5,2021-07-30,"[criteria provided, single submitter]",2022-09-26
490,RCV001617427,79500,207830,5,2018-07-15,"[criteria provided, single submitter]",2022-09-26
491,RCV001658338,79500,171931,5,2021-07-30,"[criteria provided, single submitter]",2022-09-26
492,RCV000127685,79506,201971,5,2013-08-05,"[criteria provided, single submitter]",2022-09-26
493,RCV001518067,79506,96652,5,2021-12-18,"[criteria provided, single submitter]",2022-09-26
494,RCV000127684,79514,201971,5,2013-01-07,"[criteria provided, single submitter]",2022-09-26
495,RCV001510331,79514,96652,5,2021-12-19,"[criteria provided, multiple submitters, no conflicts]",2022-09-26
496,RCV001795243,79514,196069,5,2021-11-07,"[criteria provided, single submitter]",2022-09-26
497,RCV001795244,79514,196070,5,2021-11-07,"[criteria provided, single submitter]",2022-09-26
498,RCV000862434,80074,207830,5,2018-01-31,"[criteria provided, single submitter]",2022-09-26
499,RCV002064452,80074,122956,5,2021-07-15,"[criteria provided, single submitter]",2022-09-26
500,RCV000862434,80075,207830,5,2018-01-31,"[criteria provided, single submitter]",2022-09-26
501,RCV002064452,80075,122956,5,2021-07-15,"[criteria provided, single submitter]",2022-09-26
502,RCV000422033,80103,201971,4,2016-01-05,"[criteria provided, single submitter]",2022-09-26
503,RCV001514150,80103,96652,5,2021-12-17,"[criteria provided, single submitter]",2022-09-26
504,RCV000677015,80501,207830,3,2018-03-19,"[no assertion criteria provided]",2022-09-26
505,RCV001082671,80501,122956,,2021-11-29,"[criteria provided, conflicting interpretations]",2022-09-26
506,RCV000244164,80524,201971,5,,"[criteria provided, single submitter]",2022-09-26
507,RCV000459282,80524,102568,5,2021-12-09,"[criteria provided, single submitter]",2022-09-26
508,RCV000715823,80524,3702,5,2016-05-26,"[criteria provided, single submitter]",2022-09-26
509,RCV000991881,80524,207830,5,2018-12-26,"[criteria provided, multiple submitters, no conflicts]",2022-09-26
510,RCV000244164,80525,201971,5,,"[criteria provided, single submitter]",2022-09-26
511,RCV000459282,80525,102568,5,2021-12-09,"[criteria provided, single submitter]",2022-09-26
512,RCV000715823,80525,3702,5,2016-05-26,"[criteria provided, single submitter]",2022-09-26
513,RCV000991881,80525,207830,5,2018-12-26,"[criteria provided, multiple submitters, no conflicts]",2022-09-26
514,RCV000541537,80535,102568,5,2021-11-25,"[criteria provided, single submitter]",2022-09-26
515,RCV000720491,80535,3702,5,2016-12-02,"[criteria provided, single submitter]",2022-09-26
516,RCV001653900,80535,207830,5,2020-03-27,"[criteria provided, single submitter]",2022-09-26
517,RCV000541537,80536,102568,5,2021-11-25,"[criteria provided, single submitter]",2022-09-26
518,RCV000720491,80536,3702,5,2016-12-02,"[criteria provided, single submitter]",2022-09-26
519,RCV001653900,80536,207830,5,2020-03-27,"[criteria provided, single submitter]",2022-09-26
520,RCV000231411,80690,102568,5,2021-12-18,"[criteria provided, single submitter]",2022-09-26
521,RCV000249121,80690,201971,5,,"[criteria provided, single submitter]",2022-09-26
522,RCV000711431,80690,207830,5,2019-08-02,"[criteria provided, multiple submitters, no conflicts]",2022-09-26
523,RCV000716134,80690,3702,5,2016-04-27,"[criteria provided, single submitter]",2022-09-26
524,RCV000464385,80701,102568,5,2021-12-18,"[criteria provided, single submitter]",2022-09-26
525,RCV001637044,80701,207830,5,2019-01-29,"[criteria provided, single submitter]",2022-09-26
526,RCV000476637,80705,102568,5,2021-12-18,"[criteria provided, single submitter]",2022-09-26
527,RCV001637043,80705,207830,5,2019-01-29,"[criteria provided, single submitter]",2022-09-26
528,RCV000467524,81807,102568,5,2021-12-18,"[criteria provided, single submitter]",2022-09-26
529,RCV000656071,81807,28703,1,2017-01-01,"[no assertion criteria provided]",2022-09-26
530,RCV000715562,81807,3702,5,2016-02-24,"[criteria provided, single submitter]",2022-09-26
531,RCV001683513,81807,207830,5,2018-07-27,"[criteria provided, single submitter]",2022-09-26
532,RCV000467524,81808,102568,5,2021-12-18,"[criteria provided, single submitter]",2022-09-26
533,RCV000656071,81808,28703,1,2017-01-01,"[no assertion criteria provided]",2022-09-26
534,RCV000715562,81808,3702,5,2016-02-24,"[criteria provided, single submitter]",2022-09-26
535,RCV001683513,81808,207830,5,2018-07-27,"[criteria provided, single submitter]",2022-09-26
536,RCV000471936,81812,102568,5,2021-12-17,"[criteria provided, single submitter]",2022-09-26
537,RCV000716631,81812,3702,5,2016-08-04,"[criteria provided, single submitter]",2022-09-26
538,RCV001288147,81812,201971,5,2020-05-11,"[criteria provided, single submitter]",2022-09-26
539,RCV001584183,81812,207830,4,2020-11-03,"[criteria provided, single submitter]",2022-09-26
540,RCV000471936,81813,102568,5,2021-12-17,"[criteria provided, single submitter]",2022-09-26
541,RCV000716631,81813,3702,5,2016-08-04,"[criteria provided, single submitter]",2022-09-26
542,RCV001288147,81813,201971,5,2020-05-11,"[criteria provided, single submitter]",2022-09-26
543,RCV001584183,81813,207830,4,2020-11-03,"[criteria provided, single submitter]",2022-09-26
544,RCV000253357,81819,201971,5,,"[criteria provided, single submitter]",2022-09-26
545,RCV001711680,81819,207830,5,2018-07-15,"[criteria provided, single submitter]",2022-09-26
546,RCV002057996,81819,102568,5,2021-12-18,"[criteria provided, single submitter]",2022-09-26
547,RCV000253357,81820,201971,5,,"[criteria provided, single submitter]",2022-09-26
548,RCV001711680,81820,207830,5,2018-07-15,"[criteria provided, single submitter]",2022-09-26
549,RCV002057996,81820,102568,5,2021-12-18,"[criteria provided, single submitter]",2022-09-26
550,RCV000463725,82260,102568,5,2021-12-18,"[criteria provided, single submitter]",2022-09-26
551,RCV000715606,82260,3702,5,2016-02-24,"[criteria provided, single submitter]",2022-09-26
552,RCV001712432,82260,207830,5,2018-07-27,"[criteria provided, single submitter]",2022-09-26
553,RCV000463725,82261,102568,5,2021-12-18,"[criteria provided, single submitter]",2022-09-26
554,RCV000715606,82261,3702,5,2016-02-24,"[criteria provided, single submitter]",2022-09-26
555,RCV001712432,82261,207830,5,2018-07-27,"[criteria provided, single submitter]",2022-09-26
556,RCV000228530,82410,102568,5,2021-12-18,"[criteria provided, single submitter]",2022-09-26
557,RCV000245359,82410,201971,5,,"[criteria provided, single submitter]",2022-09-26
558,RCV000711432,82410,207830,5,2019-08-05,"[criteria provided, multiple submitters, no conflicts]",2022-09-26
559,RCV000716140,82410,3702,5,2016-04-27,"[criteria provided, single submitter]",2022-09-26
560,RCV000228530,82411,102568,5,2021-12-18,"[criteria provided, single submitter]",2022-09-26
561,RCV000245359,82411,201971,5,,"[criteria provided, single submitter]",2022-09-26
562,RCV000711432,82411,207830,5,2019-08-05,"[criteria provided, multiple submitters, no conflicts]",2022-09-26
563,RCV000716140,82411,3702,5,2016-04-27,"[criteria provided, single submitter]",2022-09-26
564,RCV000468124,82880,102568,3,2021-12-08,"[criteria provided, single submitter]",2022-09-26
565,RCV000720745,82880,3702,4,2017-07-28,"[criteria provided, single submitter]",2022-09-26
566,RCV001552522,82880,207830,4,2020-06-28,"[criteria provided, single submitter]",2022-09-26
567,RCV000232443,82894,102568,5,2021-12-18,"[criteria provided, single submitter]",2022-09-26
568,RCV000248694,82894,201971,5,,"[criteria provided, single submitter]",2022-09-26
569,RCV000715987,82894,3702,5,2016-05-02,"[criteria provided, single submitter]",2022-09-26
570,RCV001711628,82894,207830,5,2019-07-25,"[criteria provided, single submitter]",2022-09-26
571,RCV000711433,82900,207830,5,2020-05-30,"[criteria provided, multiple submitters, no conflicts]",2022-09-26
572,RCV001083976,82900,102568,5,2021-12-16,"[criteria provided, single submitter]",2022-09-26
573,RCV000711434,83155,207830,,2020-12-09,"[criteria provided, multiple submitters, no conflicts]",2022-09-26
574,RCV000716156,83155,3702,5,2016-07-28,"[criteria provided, single submitter]",2022-09-26
575,RCV001079624,83155,102568,5,2021-12-13,"[criteria provided, single submitter]",2022-09-26
576,RCV000254622,83361,171931,3,2021-11-03,"[criteria provided, single submitter]",2022-09-26
577,RCV000863840,83361,102568,5,2021-11-23,"[criteria provided, single submitter]",2022-09-26
578,RCV001536586,83361,207830,5,2020-01-08,"[criteria provided, single submitter]",2022-09-26
579,RCV000642499,84760,207830,4,2018-08-23,"[criteria provided, multiple submitters, no conflicts]",2022-09-26
580,RCV001502307,84760,102568,4,2020-06-16,"[criteria provided, single submitter]",2022-09-26
581,RCV000872644,84770,207830,5,2018-06-01,"[criteria provided, single submitter]",2022-09-26
582,RCV001515062,84770,102568,5,2021-07-26,"[criteria provided, single submitter]",2022-09-26
583,RCV000253649,86300,201971,5,,"[criteria provided, single submitter]",2022-09-26
584,RCV000456214,86300,102568,5,2021-12-18,"[criteria provided, single submitter]",2022-09-26
585,RCV000711436,86300,207830,5,2019-07-19,"[criteria provided, multiple submitters, no conflicts]",2022-09-26
586,RCV000715609,86300,3702,5,2016-04-27,"[criteria provided, single submitter]",2022-09-26
587,RCV000476223,86587,102568,5,2021-12-18,"[criteria provided, single submitter]",2022-09-26
588,RCV000518528,86587,201971,5,2017-04-14,"[criteria provided, single submitter]",2022-09-26
589,RCV000990425,86587,171931,4,2019-05-28,"[criteria provided, single submitter]",2022-09-26
590,RCV001613304,86587,207830,5,2019-02-20,"[criteria provided, single submitter]",2022-09-26
591,RCV001578002,86596,207830,4,2018-08-25,"[criteria provided, single submitter]",2022-09-26
592,RCV002072273,86596,102568,5,2021-12-18,"[criteria provided, single submitter]",2022-09-26
593,RCV000468412,87010,102568,5,2021-12-15,"[criteria provided, single submitter]",2022-09-26
594,RCV000718647,87010,3702,4,2016-03-18,"[criteria provided, single submitter]",2022-09-26
595,RCV001613302,87010,207830,5,2019-03-07,"[criteria provided, single submitter]",2022-09-26
596,RCV000229961,89674,102568,5,2021-12-18,"[criteria provided, single submitter]",2022-09-26
597,RCV000249786,89674,201971,5,,"[criteria provided, single submitter]",2022-09-26
598,RCV000711438,89674,207830,5,2019-08-02,"[criteria provided, multiple submitters, no conflicts]",2022-09-26
599,RCV000716043,89674,3702,5,2016-04-27,"[criteria provided, single submitter]",2022-09-26
600,RCV001537473,89679,207830,4,2019-01-13,"[criteria provided, single submitter]",2022-09-26
601,RCV002071933,89679,102568,5,2021-11-15,"[criteria provided, single submitter]",2022-09-26
602,RCV001848604,100790,171947,3,2019-09-05,"[criteria provided, single submitter]",2022-09-26
603,RCV001848604,100790,205778,3,2019-09-05,"[criteria provided, single submitter]",2022-09-26
604,RCV002034769,100790,207830,4,2021-11-27,"[criteria provided, single submitter]",2022-09-26
605,RCV000243725,102723,201971,5,,"[criteria provided, single submitter]",2022-09-26
606,RCV001668475,102723,207830,5,2018-07-27,"[criteria provided, single submitter]",2022-09-26
607,RCV002221219,102723,123164,5,2021-12-13,"[criteria provided, single submitter]",2022-09-26
608,RCV002221219,102723,845,5,2021-12-13,"[criteria provided, single submitter]",2022-09-26
609,RCV000120711,102732,201971,,2013-09-19,"[no assertion provided]",2022-09-26
610,RCV001561302,102732,207830,4,2020-10-29,"[criteria provided, single submitter]",2022-09-26
611,RCV001854610,102732,123164,3,2021-11-27,"[criteria provided, single submitter]",2022-09-26
612,RCV001854610,102732,845,3,2021-11-27,"[criteria provided, single submitter]",2022-09-26
613,RCV000120712,102748,201971,5,2016-06-01,"[criteria provided, multiple submitters, no conflicts]",2022-09-26
614,RCV000648400,102748,123164,5,2019-12-31,"[criteria provided, single submitter]",2022-09-26
615,RCV000648400,102748,27396,5,2019-12-31,"[criteria provided, single submitter]",2022-09-26
616,RCV001536992,102748,207830,5,2018-11-20,"[criteria provided, single submitter]",2022-09-26
617,RCV001560357,102757,207830,4,2021-02-09,"[criteria provided, single submitter]",2022-09-26
618,RCV002244812,102757,123164,5,2021-12-08,"[criteria provided, single submitter]",2022-09-26
619,RCV002244812,102757,845,5,2021-12-08,"[criteria provided, single submitter]",2022-09-26
620,RCV000120715,103740,201971,,2019-04-12,"[criteria provided, multiple submitters, no conflicts]",2022-09-26
621,RCV001530014,103740,207830,5,2019-01-28,"[criteria provided, single submitter]",2022-09-26
622,RCV002243783,103740,123164,5,2021-12-08,"[criteria provided, single submitter]",2022-09-26
623,RCV002243783,103740,845,5,2021-12-08,"[criteria provided, single submitter]",2022-09-26
624,RCV000145963,103868,201971,5,2015-01-17,"[criteria provided, multiple submitters, no conflicts]",2022-09-26
625,RCV001618297,103868,207830,5,2018-09-26,"[criteria provided, single submitter]",2022-09-26
626,RCV002243813,103868,123164,5,2021-12-03,"[criteria provided, single submitter]",2022-09-26
627,RCV002243813,103868,845,5,2021-12-03,"[criteria provided, single submitter]",2022-09-26
628,RCV000884726,103876,123164,5,2019-12-31,"[criteria provided, single submitter]",2022-09-26
629,RCV000884726,103876,27396,5,2019-12-31,"[criteria provided, single submitter]",2022-09-26
630,RCV001692320,103876,207830,5,2019-08-12,"[criteria provided, single submitter]",2022-09-26
631,RCV000248653,103884,201971,5,,"[criteria provided, single submitter]",2022-09-26
632,RCV001683025,103884,207830,5,2018-07-27,"[criteria provided, single submitter]",2022-09-26
633,RCV002221217,103884,123164,5,2021-12-13,"[criteria provided, single submitter]",2022-09-26
634,RCV002221217,103884,845,5,2021-12-13,"[criteria provided, single submitter]",2022-09-26
635,RCV000179383,104261,201971,5,2015-01-17,"[criteria provided, single submitter]",2022-09-26
636,RCV001657959,104261,207830,5,2018-09-26,"[criteria provided, single submitter]",2022-09-26
637,RCV002243864,104261,123164,5,2021-12-03,"[criteria provided, single submitter]",2022-09-26
638,RCV002243864,104261,845,5,2021-12-03,"[criteria provided, single submitter]",2022-09-26
639,RCV000120734,104266,201971,,2013-09-19,"[no assertion provided]",2022-09-26
640,RCV001537538,104266,207830,4,2021-01-13,"[criteria provided, single submitter]",2022-09-26
641,RCV002243787,104266,123164,5,2021-12-18,"[criteria provided, single submitter]",2022-09-26
642,RCV002243787,104266,845,5,2021-12-18,"[criteria provided, single submitter]",2022-09-26
643,RCV001552679,104773,207830,4,2020-01-26,"[criteria provided, single submitter]",2022-09-26
644,RCV002221276,104773,123164,5,2021-12-09,"[criteria provided, single submitter]",2022-09-26
645,RCV002221276,104773,845,5,2021-12-09,"[criteria provided, single submitter]",2022-09-26
646,RCV001644867,104780,207830,5,2019-07-15,"[criteria provided, single submitter]",2022-09-26
647,RCV002245783,104780,123164,5,2021-10-11,"[criteria provided, single submitter]",2022-09-26
648,RCV002245783,104780,845,5,2021-10-11,"[criteria provided, single submitter]",2022-09-26
649,RCV000194701,105012,201971,4,2014-05-12,"[criteria provided, single submitter]",2022-09-26
650,RCV000952190,105012,207830,5,2020-07-20,"[criteria provided, multiple submitters, no conflicts]",2022-09-26
651,RCV002221213,105012,123164,5,2021-07-12,"[criteria provided, single submitter]",2022-09-26
652,RCV002221213,105012,845,5,2021-07-12,"[criteria provided, single submitter]",2022-09-26
653,RCV000145950,105090,123164,3,2013-03-04,"[criteria provided, single submitter]",2022-09-26
654,RCV001711404,105090,207830,5,2020-09-17,"[criteria provided, single submitter]",2022-09-26
655,RCV002243806,105090,123164,5,2021-12-08,"[criteria provided, single submitter]",2022-09-26
656,RCV002243806,105090,845,5,2021-12-08,"[criteria provided, single submitter]",2022-09-26
657,RCV000079669,105094,201971,5,2014-01-02,"[criteria provided, multiple submitters, no conflicts]",2022-09-26
658,RCV001664276,105094,123164,5,2021-07-30,"[criteria provided, single submitter]",2022-09-26
659,RCV001664277,105094,185425,5,2021-07-30,"[criteria provided, single submitter]",2022-09-26
660,RCV001675606,105094,207830,5,2018-07-03,"[criteria provided, single submitter]",2022-09-26
661,RCV002243698,105094,123164,5,2021-12-18,"[criteria provided, single submitter]",2022-09-26
662,RCV002243698,105094,845,5,2021-12-18,"[criteria provided, single submitter]",2022-09-26
663,RCV000174051,105837,201971,,2016-05-14,"[criteria provided, multiple submitters, no conflicts]",2022-09-26
664,RCV001682883,105837,207830,5,2019-01-14,"[criteria provided, single submitter]",2022-09-26
665,RCV002243844,105837,123164,5,2021-12-17,"[criteria provided, single submitter]",2022-09-26
666,RCV002243844,105837,845,5,2021-12-17,"[criteria provided, single submitter]",2022-09-26
667,RCV000120704,105850,201971,5,2021-07-27,"[criteria provided, multiple submitters, no conflicts]",2022-09-26
668,RCV000367429,105850,171842,4,2019-05-28,"[criteria provided, single submitter]",2022-09-26
669,RCV001252243,105850,134081,4,2019-01-01,"[no assertion criteria provided]",2022-09-26
670,RCV001572648,105850,207830,5,2018-09-04,"[criteria provided, single submitter]",2022-09-26
671,RCV002243781,105850,123164,5,2021-10-16,"[criteria provided, single submitter]",2022-09-26
672,RCV002243781,105850,845,5,2021-10-16,"[criteria provided, single submitter]",2022-09-26
673,RCV001565292,105858,207830,4,2018-10-17,"[criteria provided, single submitter]",2022-09-26
674,RCV002221277,105858,123164,5,2021-12-16,"[criteria provided, single submitter]",2022-09-26
675,RCV002221277,105858,845,5,2021-12-16,"[criteria provided, single submitter]",2022-09-26
676,RCV000079670,105877,201971,5,2014-04-09,"[criteria provided, multiple submitters, no conflicts]",2022-09-26
677,RCV001610361,105877,207830,5,2018-08-17,"[criteria provided, single submitter]",2022-09-26
678,RCV002221196,105877,123164,5,2021-12-18,"[criteria provided, single submitter]",2022-09-26
679,RCV002221196,105877,845,5,2021-12-18,"[criteria provided, single submitter]",2022-09-26
680,RCV000145951,106212,201971,5,2013-02-08,"[criteria provided, multiple submitters, no conflicts]",2022-09-26
681,RCV001668290,106212,207830,5,2018-07-27,"[criteria provided, single submitter]",2022-09-26
682,RCV002221201,106212,123164,5,2021-12-13,"[criteria provided, single submitter]",2022-09-26
683,RCV002221201,106212,845,5,2021-12-13,"[criteria provided, single submitter]",2022-09-26
684,RCV000079672,106220,201971,5,2013-06-28,"[criteria provided, single submitter]",2022-09-26
685,RCV001675607,106220,207830,5,2018-07-03,"[criteria provided, single submitter]",2022-09-26
686,RCV002243699,106220,123164,5,2021-12-13,"[criteria provided, single submitter]",2022-09-26
687,RCV002243699,106220,845,5,2021-12-13,"[criteria provided, single submitter]",2022-09-26
688,RCV000890615,106253,207830,5,2020-03-31,"[criteria provided, multiple submitters, no conflicts]",2022-09-26
689,RCV002221254,106253,123164,5,2021-11-09,"[criteria provided, single submitter]",2022-09-26
690,RCV002221254,106253,845,5,2021-11-09,"[criteria provided, single submitter]",2022-09-26
691,RCV000120709,106258,201971,5,2015-09-08,"[criteria provided, single submitter]",2022-09-26
692,RCV001709491,106258,207830,5,2019-09-10,"[criteria provided, single submitter]",2022-09-26
693,RCV002243782,106258,123164,5,2021-12-13,"[criteria provided, single submitter]",2022-09-26
694,RCV002243782,106258,845,5,2021-12-13,"[criteria provided, single submitter]",2022-09-26
695,RCV000120708,106274,201971,5,2018-09-26,"[criteria provided, multiple submitters, no conflicts]",2022-09-26
696,RCV000294667,106274,171842,4,2019-05-28,"[criteria provided, single submitter]",2022-09-26
697,RCV000445350,106274,207830,5,2018-11-14,"[criteria provided, multiple submitters, no conflicts]",2022-09-26
698,RCV001080710,106274,123164,5,2019-12-31,"[criteria provided, single submitter]",2022-09-26
699,RCV001080710,106274,27396,5,2019-12-31,"[criteria provided, single submitter]",2022-09-26
700,RCV000079673,106480,201971,5,2014-06-10,"[criteria provided, multiple submitters, no conflicts]",2022-09-26
701,RCV001610362,106480,207830,5,2018-07-17,"[criteria provided, single submitter]",2022-09-26
702,RCV001664278,106480,123164,5,2021-07-30,"[criteria provided, single submitter]",2022-09-26
703,RCV001664279,106480,185425,5,2021-07-30,"[criteria provided, single submitter]",2022-09-26
704,RCV002243700,106480,123164,5,2021-12-18,"[criteria provided, single submitter]",2022-09-26
705,RCV002243700,106480,845,5,2021-12-18,"[criteria provided, single submitter]",2022-09-26
706,RCV001620690,106488,207830,5,2021-01-28,"[criteria provided, single submitter]",2022-09-26
707,RCV002221283,106488,123164,5,2021-12-16,"[criteria provided, single submitter]",2022-09-26
708,RCV002221283,106488,845,5,2021-12-16,"[criteria provided, single submitter]",2022-09-26
709,RCV000145953,106511,123164,3,2013-03-04,"[criteria provided, single submitter]",2022-09-26
710,RCV001577098,106511,207830,4,2021-01-04,"[criteria provided, single submitter]",2022-09-26
711,RCV002221202,106511,123164,5,2021-11-22,"[criteria provided, single submitter]",2022-09-26
712,RCV002221202,106511,845,5,2021-11-22,"[criteria provided, single submitter]",2022-09-26
713,RCV000345929,106527,201971,5,2015-06-11,"[criteria provided, single submitter]",2022-09-26
714,RCV001610771,106527,207830,5,2019-09-24,"[criteria provided, single submitter]",2022-09-26
715,RCV002244730,106527,123164,5,2021-11-04,"[criteria provided, single submitter]",2022-09-26
716,RCV002244730,106527,845,5,2021-11-04,"[criteria provided, single submitter]",2022-09-26
717,RCV000079674,106540,201971,4,2013-10-04,"[criteria provided, single submitter]",2022-09-26
718,RCV001689624,106540,207830,5,2020-12-14,"[criteria provided, single submitter]",2022-09-26
719,RCV002243701,106540,123164,5,2021-10-20,"[criteria provided, single submitter]",2022-09-26
720,RCV002243701,106540,845,5,2021-10-20,"[criteria provided, single submitter]",2022-09-26
721,RCV000079675,106812,201971,5,2014-06-10,"[criteria provided, multiple submitters, no conflicts]",2022-09-26
722,RCV001664280,106812,123164,5,2021-07-30,"[criteria provided, single submitter]",2022-09-26
723,RCV001664281,106812,185425,5,2021-07-30,"[criteria provided, single submitter]",2022-09-26
724,RCV001723658,106812,207830,5,2018-07-20,"[criteria provided, single submitter]",2022-09-26
725,RCV002243702,106812,123164,5,2021-12-18,"[criteria provided, single submitter]",2022-09-26
726,RCV002243702,106812,845,5,2021-12-18,"[criteria provided, single submitter]",2022-09-26
727,RCV000145954,107044,201971,5,2013-02-08,"[criteria provided, multiple submitters, no conflicts]",2022-09-26
728,RCV001594854,107044,207830,5,2018-07-27,"[criteria provided, single submitter]",2022-09-26
729,RCV002243807,107044,123164,5,2021-12-13,"[criteria provided, single submitter]",2022-09-26
730,RCV002243807,107044,845,5,2021-12-13,"[criteria provided, single submitter]",2022-09-26
731,RCV000145955,107051,201971,5,2013-02-08,"[criteria provided, single submitter]",2022-09-26
732,RCV001657837,107051,207830,5,2018-10-17,"[criteria provided, single submitter]",2022-09-26
733,RCV002243808,107051,123164,5,2021-12-08,"[criteria provided, single submitter]",2022-09-26
734,RCV002243808,107051,845,5,2021-12-08,"[criteria provided, single submitter]",2022-09-26
735,RCV000079677,108279,201971,5,2013-04-03,"[criteria provided, multiple submitters, no conflicts]",2022-09-26
736,RCV001610363,108279,207830,5,2018-08-11,"[criteria provided, single submitter]",2022-09-26
737,RCV002221197,108279,123164,5,2021-12-18,"[criteria provided, single submitter]",2022-09-26
738,RCV002221197,108279,845,5,2021-12-18,"[criteria provided, single submitter]",2022-09-26
739,RCV000079677,108280,201971,5,2013-04-03,"[criteria provided, multiple submitters, no conflicts]",2022-09-26
740,RCV001610363,108280,207830,5,2018-08-11,"[criteria provided, single submitter]",2022-09-26
741,RCV002221197,108280,123164,5,2021-12-18,"[criteria provided, single submitter]",2022-09-26
742,RCV002221197,108280,845,5,2021-12-18,"[criteria provided, single submitter]",2022-09-26
743,RCV000079677,108281,201971,5,2013-04-03,"[criteria provided, multiple submitters, no conflicts]",2022-09-26
744,RCV001610363,108281,207830,5,2018-08-11,"[criteria provided, single submitter]",2022-09-26
745,RCV002221197,108281,123164,5,2021-12-18,"[criteria provided, single submitter]",2022-09-26
746,RCV002221197,108281,845,5,2021-12-18,"[criteria provided, single submitter]",2022-09-26
747,RCV000728673,108288,201971,5,2017-08-21,"[criteria provided, single submitter]",2022-09-26
748,RCV000893925,108288,207830,5,2018-07-31,"[criteria provided, single submitter]",2022-09-26
749,RCV000728673,108289,201971,5,2017-08-21,"[criteria provided, single submitter]",2022-09-26
750,RCV000893925,108289,207830,5,2018-07-31,"[criteria provided, single submitter]",2022-09-26
751,RCV000728673,108290,201971,5,2017-08-21,"[criteria provided, single submitter]",2022-09-26
752,RCV000893925,108290,207830,5,2018-07-31,"[criteria provided, single submitter]",2022-09-26
753,RCV001672613,108437,207830,5,2019-05-13,"[criteria provided, single submitter]",2022-09-26
754,RCV002244818,108437,123164,5,2021-12-08,"[criteria provided, single submitter]",2022-09-26
755,RCV002244818,108437,845,5,2021-12-08,"[criteria provided, single submitter]",2022-09-26
756,RCV001672613,108438,207830,5,2019-05-13,"[criteria provided, single submitter]",2022-09-26
757,RCV002244818,108438,123164,5,2021-12-08,"[criteria provided, single submitter]",2022-09-26
758,RCV002244818,108438,845,5,2021-12-08,"[criteria provided, single submitter]",2022-09-26
759,RCV001672613,108439,207830,5,2019-05-13,"[criteria provided, single submitter]",2022-09-26
760,RCV002244818,108439,123164,5,2021-12-08,"[criteria provided, single submitter]",2022-09-26
761,RCV002244818,108439,845,5,2021-12-08,"[criteria provided, single submitter]",2022-09-26
762,RCV001672613,108440,207830,5,2019-05-13,"[criteria provided, single submitter]",2022-09-26
763,RCV002244818,108440,123164,5,2021-12-08,"[criteria provided, single submitter]",2022-09-26
764,RCV002244818,108440,845,5,2021-12-08,"[criteria provided, single submitter]",2022-09-26
765,RCV000079678,108449,201971,5,2014-06-10,"[criteria provided, multiple submitters, no conflicts]",2022-09-26
766,RCV001664282,108449,123164,5,2021-07-30,"[criteria provided, single submitter]",2022-09-26
767,RCV001664283,108449,185425,5,2021-07-30,"[criteria provided, single submitter]",2022-09-26
768,RCV002221198,108449,123164,5,2021-12-18,"[criteria provided, single submitter]",2022-09-26
769,RCV002221198,108449,845,5,2021-12-18,"[criteria provided, single submitter]",2022-09-26
770,RCV000079678,108453,201971,5,2014-06-10,"[criteria provided, multiple submitters, no conflicts]",2022-09-26
771,RCV001664282,108453,123164,5,2021-07-30,"[criteria provided, single submitter]",2022-09-26
772,RCV001664283,108453,185425,5,2021-07-30,"[criteria provided, single submitter]",2022-09-26
773,RCV002221198,108453,123164,5,2021-12-18,"[criteria provided, single submitter]",2022-09-26
774,RCV002221198,108453,845,5,2021-12-18,"[criteria provided, single submitter]",2022-09-26
775,RCV000079678,108454,201971,5,2014-06-10,"[criteria provided, multiple submitters, no conflicts]",2022-09-26
776,RCV001664282,108454,123164,5,2021-07-30,"[criteria provided, single submitter]",2022-09-26
777,RCV001664283,108454,185425,5,2021-07-30,"[criteria provided, single submitter]",2022-09-26
778,RCV002221198,108454,123164,5,2021-12-18,"[criteria provided, single submitter]",2022-09-26
779,RCV002221198,108454,845,5,2021-12-18,"[criteria provided, single submitter]",2022-09-26
780,RCV000079678,108456,201971,5,2014-06-10,"[criteria provided, multiple submitters, no conflicts]",2022-09-26
781,RCV001664282,108456,123164,5,2021-07-30,"[criteria provided, single submitter]",2022-09-26
782,RCV001664283,108456,185425,5,2021-07-30,"[criteria provided, single submitter]",2022-09-26
783,RCV002221198,108456,123164,5,2021-12-18,"[criteria provided, single submitter]",2022-09-26
784,RCV002221198,108456,845,5,2021-12-18,"[criteria provided, single submitter]",2022-09-26
785,RCV000275831,108526,15257,5,2021-12-13,"[criteria provided, multiple submitters, no conflicts]",2022-09-26
786,RCV000455727,108526,201971,5,2016-03-28,"[criteria provided, single submitter]",2022-09-26
787,RCV001661282,108774,123164,5,2021-07-30,"[criteria provided, single submitter]",2022-09-26
788,RCV001661283,108774,185425,5,2021-07-30,"[criteria provided, single submitter]",2022-09-26
789,RCV001713671,108774,207830,5,2018-07-17,"[criteria provided, single submitter]",2022-09-26
